,price,brick,metro,kitsp,dist,walk,livesp,floor,code,totsp,owners,parking,lastownage,rating,murder,class
20,110,monolit,Tagansko-Krasnopresenskaya,10,6,13,54,5,southeast,85,3,opened,46,2,0,Usual
21,170,monolit,Kalugsko-Rigskaya,11,3,26,55,0,north,84,2,closed,42,2,0,Usual
22,125,block,Serpuhovsko-timiryazevskaya,8,12.5,17,40,8,north,62,2,closed,46,1,0,Usual
23,135,brick,Zamoskvoreckaya,8,9,29,51,0,northwest,72,2,opened,40,2,0,Usual
24,95,block,Kalugsko-Rigskaya,6,12,27,38,3,north,58,3,underground,54,1,0,Usual
25,148,monolit,Kalininskaya,10,10.5,28,61,4,east,92,2,closed,60,2,0,Usual
26,56,brick,Tagansko-Krasnopresenskaya,7,13.5,2,43,9,southeast,68,2,opened,61,1,1,Usual
27,135,block,Lublinskaya,13,12,16,46,0,southeast,82,1,closed,41,2,0,Usual
28,130,monolit,Arbato-Pokrovskaya,7,11,19,52,0,east,73,1,opened,52,2,0,Usual
29,72,block,Lublinskaya,6,7,2,34,9,southeast,49,2,underground,70,1,1,Usual
30,,brick,Lublinskaya,14,12,27,46,2,southeast,85,3,closed,52,1,1,Usual
31,140,block,Arbato-Pokrovskaya,8,4.5,16,44,2,east,65,1,closed,66,2,0,Usual
32,112,monolit,Zamoskvoreckaya,8,10.5,12,51,1,northwest,73,1,underground,76,2,0,Usual
33,120,brick,Lublinskaya,10,12,16,56,7,southeast,83,1,underground,54,2,0,Usual
34,130,block,Tagansko-Krasnopresenskaya,8,9,19,47,4,northwest,70,2,opened,30,2,0,Usual
35,110,panel,Lublinskaya,10,12.7,21,43,5,,75,2,closed,77,1,0,Usual
36,450,panel,Tagansko-Krasnopresenskaya,20,9,17,80,4,northwest,125,2,underground,77,3,0,Business
37,159,monolit,Arbato-Pokrovskaya,8,7.5,19,56,0,east,81,2,opened,38,2,0,Usual
38,120,block,Kalugsko-Rigskaya,12,13.5,29,47,2,north,77,2,underground,69,1,0,Usual
39,132,panel,Tagansko-Krasnopresenskaya,10,10,7,41,0,southeast,77,2,underground,49,2,0,Usual
40,169,,Kalugsko-Rigskaya,8,3,29,40,9,north,68,2,underground,31,2,0,Usual
41,185,monolit,Kalugsko-Rigskaya,9,3,,47,0,north,75,2,closed,39,2,0,Usual
42,92,monolit,Kalininskaya,7,10.5,24,33,0,east,61,3,closed,39,1,0,Usual
43,88,block,Kalininskaya,6,12,3,43,0,east,60,2,underground,47,1,0,Usual
44,90,panel,Tagansko-Krasnopresenskaya,6,13.5,20,43,5,southeast,58,2,opened,43,1,0,Usual
45,115,brick,Tagansko-Krasnopresenskaya,9,6,27,50,1,southeast,77,1,closed,44,1,0,Usual
46,265,panel,Tagansko-Krasnopresenskaya,14,7,9,56,7,northwest,100,3,underground,61,2,0,Usual
47,129,block,Kalugsko-Rigskaya,13,12,17,46,7,north,79,3,underground,57,2,0,Usual
48,110,panel,Serpuhovsko-timiryazevskaya,7,,25,46,5,north,65,1,closed,80,1,0,Usual
49,102,brick,Kalininskaya,6,12,1,43,7,,60,3,closed,32,1,0,Usual
50,,panel,Lublinskaya,13,13,1,45,9,southeast,77,1,opened,71,1,1,Usual
51,86,block,Arbato-Pokrovskaya,7,12,14,42,5,east,60,1,opened,74,1,0,Usual
52,115,block,Kalininskaya,8,12,2,42,1,east,75,3,closed,47,2,0,Usual
53,87,panel,Lublinskaya,7,12,20,46,2,southeast,64,2,opened,70,1,0,Usual
54,140,block,Kalininskaya,12,10.5,,51,0,east,99,1,underground,64,2,0,Usual
55,219,block,Zamoskvoreckaya,20,9,17,60,9,northwest,113,1,underground,77,2,0,Usual
56,79,block,Tagansko-Krasnopresenskaya,6,13.5,25,34,1,southeast,51,3,opened,52,1,1,Usual
57,180,monolit,Zamoskvoreckaya,11,7.5,20,50,0,northwest,81,2,opened,60,2,0,Usual
58,89,block,Lublinskaya,9,13,12,38,0,,62,3,underground,61,1,0,Usual
59,340,,Zamoskvoreckaya,19,9,16,49,6,northwest,83,1,opened,61,3,0,Usual
60,112,panel,Lublinskaya,10,12,2,42,8,,75,2,closed,63,2,0,Usual
61,99,monolit,Zamoskvoreckaya,7,10.5,10,37,0,northwest,67,2,underground,66,1,0,Usual
62,170,panel,Lublinskaya,12,12.7,19,51,0,southeast,89,1,closed,56,2,0,Usual
63,198,panel,Tagansko-Krasnopresenskaya,10,7,13,45,5,northwest,80,3,underground,43,2,0,Usual
64,89,block,Kalininskaya,6,3.5,17,34,0,east,51,1,closed,73,1,0,Usual
65,193,panel,Zamoskvoreckaya,8,7.5,19,55,7,northwest,78,2,opened,75,2,0,Usual
66,100,brick,Lublinskaya,6,11,27,42,9,southeast,,3,opened,66,1,0,Usual
67,135,block,Kalugsko-Rigskaya,10,13.5,7,47,8,north,,2,closed,40,1,0,Usual
68,100,panel,Kalugsko-Rigskaya,8,13.5,12,44,8,north,78,2,underground,53,1,0,Usual
69,136,,Kalugsko-Rigskaya,8,3,29,,3,north,64,1,opened,54,1,0,Usual
70,133,panel,Kalininskaya,10,10.5,18,48,0,east,80,2,opened,34,2,0,Usual
71,145,monolit,Arbato-Pokrovskaya,8,12,26,58,8,,85,2,opened,72,2,0,Usual
72,105,panel,Zamoskvoreckaya,10,14.5,6,52,0,northwest,79,1,closed,70,2,0,Usual
73,97,panel,Tagansko-Krasnopresenskaya,6,9,17,34,2,northwest,53,2,underground,40,1,0,Usual
74,220,monolit,Zamoskvoreckaya,13,14.5,25,49,0,northwest,103,2,closed,72,2,0,Usual
75,125,panel,Lublinskaya,10,12,,45,5,southeast,77,1,closed,67,2,0,Usual
76,110,panel,Lublinskaya,10,13,23,45,7,southeast,81,2,closed,70,1,0,Usual
77,153,brick,Arbato-Pokrovskaya,9,7.5,20,66,1,east,87,1,closed,45,2,0,Usual
78,137,block,Kalugsko-Rigskaya,10,15.5,3,44,5,north,74,1,closed,68,2,0,Usual
79,85,block,Lublinskaya,6,12,16,45,9,southeast,59,3,opened,44,1,0,Usual
80,95,panel,Serpuhovsko-timiryazevskaya,6,12.5,19,45,0,north,64,2,opened,40,1,0,Usual
81,115,block,Serpuhovsko-timiryazevskaya,9,14.5,12,41,3,north,67,2,closed,32,1,0,Usual
82,76,monolit,Zamoskvoreckaya,6,12.5,2,36,0,northwest,55,1,underground,46,1,1,Usual
83,139,panel,Kalininskaya,10,10.5,18,48,0,east,80,1,underground,81,2,0,Usual
84,350,brick,Kalininskaya,14,10.5,20,44,0,east,80,3,opened,31,3,0,Usual
85,105,block,Serpuhovsko-timiryazevskaya,8,12.5,18,40,2,north,66,3,closed,33,1,0,Usual
86,110,panel,Kalininskaya,6,3.5,25,,0,east,51,2,opened,36,1,0,Usual
87,99,panel,Lublinskaya,8,12,20,44,0,southeast,66,2,closed,67,1,0,Usual
88,90,panel,Tagansko-Krasnopresenskaya,6,13.5,25,45,5,southeast,60,2,opened,77,1,0,Usual
89,130,panel,Kalininskaya,10,10.5,23,46,2,east,80,3,closed,54,2,0,Usual
90,165,brick,Zamoskvoreckaya,9,9,26,45,2,northwest,65,2,underground,51,2,0,Usual
91,130,block,Kalugsko-Rigskaya,11,13.5,4,44,8,north,75,1,opened,64,2,0,Usual
92,158,monolit,Tagansko-Krasnopresenskaya,9,9,15,48,6,northwest,78,3,opened,61,2,0,Usual
93,380,panel,Tagansko-Krasnopresenskaya,15,7,10,72,4,northwest,130,1,opened,48,3,0,Business
94,210,panel,Kalugsko-Rigskaya,20,8,29,42,1,north,80,1,opened,58,2,0,Usual
95,116,monolit,Kalininskaya,9,3.5,14,51,0,east,75,1,opened,63,2,0,Usual
96,140,panel,Serpuhovsko-timiryazevskaya,10,12.5,18,44,6,north,,1,opened,60,1,0,Usual
97,130,block,Tagansko-Krasnopresenskaya,13,6,27,54,7,southeast,86,3,closed,42,2,0,Usual
98,82,block,Serpuhovsko-timiryazevskaya,6,12.5,27,35,6,north,51,2,closed,63,1,0,Usual
99,208,monolit,Tagansko-Krasnopresenskaya,14,10,18,70,1,southeast,115,2,closed,36,2,0,Usual
100,99,block,Serpuhovsko-timiryazevskaya,8,17,25,,0,north,65,3,opened,56,1,0,Usual
101,110,panel,Lublinskaya,11,13,15,46,2,southeast,77,3,opened,69,1,0,Usual
102,470,brick,Zamoskvoreckaya,18,9,17,75,9,northwest,120,3,closed,46,3,0,Business
103,105,monolit,Kalugsko-Rigskaya,6,3,25,42,6,north,57,1,opened,52,1,0,Usual
104,169,brick,Kalugsko-Rigskaya,8,8,16,44,9,north,,1,closed,41,1,0,Usual
105,94,panel,Serpuhovsko-timiryazevskaya,7,12.5,18,45,3,north,64,3,underground,52,1,0,Usual
106,136,panel,Serpuhovsko-timiryazevskaya,10,12.5,0,46,0,north,78,2,closed,59,2,0,Usual
107,88,,Serpuhovsko-timiryazevskaya,6,6.5,20,38,0,north,55,3,opened,38,1,0,Usual
108,130,brick,Tagansko-Krasnopresenskaya,9,6,22,56,6,southeast,81,3,opened,26,2,0,Usual
109,150,panel,Arbato-Pokrovskaya,10,12,21,55,7,east,87,2,opened,46,2,0,Usual
110,84,monolit,Kalininskaya,5,12,22,43,0,east,58,2,opened,29,1,0,Usual
111,74,block,Tagansko-Krasnopresenskaya,6,13.5,9,43,0,southeast,60,1,opened,69,1,1,Usual
112,138,panel,Lublinskaya,10,13,2,45,1,southeast,77,1,closed,53,2,0,Usual
113,125,block,Kalugsko-Rigskaya,10,12,29,42,8,north,62,1,opened,59,1,0,Usual
114,105,brick,Arbato-Pokrovskaya,6,4.5,23,40,7,east,57,2,underground,46,1,0,Usual
115,138,monolit,Zamoskvoreckaya,8,10.5,17,45,0,northwest,70,2,opened,36,2,0,Usual
116,129,block,Zamoskvoreckaya,10,10.5,13,55,0,northwest,86,3,closed,64,2,0,Usual
117,120,brick,Kalininskaya,6,12,22,42,9,east,56,1,underground,65,1,0,Usual
118,95,panel,Kalininskaya,8,12,22,39,3,east,64,3,underground,30,1,0,Usual
119,82,monolit,Zamoskvoreckaya,5,10.5,0,39,4,northwest,56,1,underground,71,1,0,Usual
120,74,panel,Tagansko-Krasnopresenskaya,6,13.5,29,35,0,southeast,51,3,underground,30,1,1,Usual
121,110,block,Tagansko-Krasnopresenskaya,10,17,17,47,0,northwest,83,3,closed,38,2,0,Usual
122,87,block,Kalininskaya,6,12,4,43,9,east,60,2,closed,77,1,0,Usual
123,190,panel,Arbato-Pokrovskaya,12,12,9,46,8,east,81,1,closed,65,2,0,Usual
124,90,panel,Tagansko-Krasnopresenskaya,6,17,19,43,1,northwest,58,2,closed,64,1,0,Usual
125,152,panel,Tagansko-Krasnopresenskaya,8,9,23,53,2,northwest,79,2,closed,41,2,0,Usual
126,120,monolit,Lublinskaya,12,12.7,27,40,,southeast,74,1,closed,56,1,0,Usual
127,195,brick,Arbato-Pokrovskaya,10,4.5,28,55,0,east,83,1,closed,39,2,0,Usual
128,144,block,Kalugsko-Rigskaya,10,13.5,16,51,0,north,80,3,opened,33,2,0,Usual
129,149,,Arbato-Pokrovskaya,13,4.5,27,48,6,east,78,3,opened,32,2,0,Usual
130,,brick,Zamoskvoreckaya,5,9,17,40,0,northwest,56,2,closed,31,1,1,Usual
131,105,monolit,Tagansko-Krasnopresenskaya,6,9,18,44,0,northwest,57,1,opened,41,1,0,Usual
132,185,brick,Kalugsko-Rigskaya,8,3,22,45,0,north,73,3,opened,33,2,0,Usual
133,115,monolit,Tagansko-Krasnopresenskaya,,11.5,23,54,9,southeast,78,3,underground,53,1,0,Usual
134,115,panel,Lublinskaya,10,13,20,45,7,southeast,74,1,opened,49,1,0,Usual
135,106,panel,Tagansko-Krasnopresenskaya,6,7,14,44,0,northwest,58,2,opened,28,1,0,Usual
136,92,panel,Kalugsko-Rigskaya,8,12,0,39,9,north,64,1,underground,41,1,0,Usual
137,105,brick,Kalugsko-Rigskaya,6,3,21,42,0,north,56,2,closed,46,1,0,Usual
138,120,block,Lublinskaya,11,12.7,15,44,1,southeast,82,3,underground,63,2,0,Usual
139,52,panel,Kalininskaya,9,12,10,,0,east,86,2,closed,54,1,1,Usual
140,169,monolit,Tagansko-Krasnopresenskaya,14,9,13,58,5,northwest,95,3,opened,51,2,0,Usual
141,225,brick,Tagansko-Krasnopresenskaya,9,7,24,53,,northwest,80,3,underground,56,2,0,Usual
142,94,panel,Zamoskvoreckaya,5,14.5,6,43,3,northwest,59,3,opened,31,1,0,Usual
143,99,block,Lublinskaya,10,12,29,45,5,southeast,76,2,opened,70,1,0,Usual
144,86,block,Tagansko-Krasnopresenskaya,6,17,24,35,0,northwest,51,1,opened,51,1,0,Usual
145,177,block,Arbato-Pokrovskaya,9,4.5,25,50,0,east,80,2,closed,71,2,0,Usual
146,113,panel,Lublinskaya,10,12,27,45,3,southeast,75,1,closed,75,1,0,Usual
147,110,panel,Lublinskaya,10,13,27,46,3,southeast,76,1,underground,55,1,0,Usual
148,145,block,Lublinskaya,10,12,20,50,7,southeast,78,1,underground,42,2,0,Usual
149,90,brick,Tagansko-Krasnopresenskaya,5,6,17,41,5,southeast,56,3,closed,44,1,0,Usual
150,199,monolit,Kalugsko-Rigskaya,20,13.5,11,62,2,north,127,2,opened,58,2,0,Usual
151,372,block,Zamoskvoreckaya,20,10.5,22,80,3,northwest,158,2,closed,63,3,0,Business
152,95,monolit,Zamoskvoreckaya,6,7.5,25,42,1,northwest,58,2,underground,77,1,0,Usual
153,78,brick,Tagansko-Krasnopresenskaya,6,13.5,19,34,3,southeast,51,3,closed,39,1,1,Usual
154,135,block,Kalininskaya,11,12,3,45,9,east,84,1,closed,63,2,0,Usual
155,100,panel,Lublinskaya,12,12.7,24,45,6,southeast,80,1,closed,54,1,0,Usual
156,153,block,Tagansko-Krasnopresenskaya,10,9,10,46,7,northwest,76,2,underground,34,2,0,Usual
157,95,block,Tagansko-Krasnopresenskaya,9,13.5,16,47,8,southeast,65,3,closed,33,1,0,Usual
158,103,block,Serpuhovsko-timiryazevskaya,6,12.5,15,43,7,north,60,1,opened,35,1,0,Usual
159,114,block,Lublinskaya,13,12,15,45,0,southeast,80,3,underground,48,2,0,Usual
160,113,panel,Kalininskaya,10,12,5,46,9,east,85,2,opened,69,2,0,Usual
161,108,panel,Kalininskaya,10,12,11,52,2,east,80,3,underground,61,2,0,Usual
162,107,panel,Lublinskaya,11,13,14,44,0,southeast,74,1,opened,57,1,0,Usual
163,100,monolit,Zamoskvoreckaya,9,10.5,10,52,7,,77,3,opened,27,1,0,Usual
164,106,panel,Lublinskaya,12,13,,43,0,southeast,76,2,closed,47,2,0,Usual
165,84,block,Kalugsko-Rigskaya,6,13.5,10,44,8,north,60,2,closed,67,1,0,Usual
166,,monolit,Arbato-Pokrovskaya,9,7.5,4,51,0,east,73,3,opened,60,1,1,Usual
167,106,block,Lublinskaya,10,13,3,46,4,southeast,76,2,closed,47,2,0,Usual
168,124,brick,Kalugsko-Rigskaya,8,13.5,19,55,4,north,78,2,opened,71,2,0,Usual
169,112,block,Serpuhovsko-timiryazevskaya,8,17,24,40,0,north,65,1,opened,73,1,0,Usual
170,110,block,Kalininskaya,,12,5,,7,east,65,3,closed,41,1,0,Usual
171,80,,Tagansko-Krasnopresenskaya,6,13.5,12,44,5,southeast,60,2,underground,28,1,0,Usual
172,115,brick,Zamoskvoreckaya,5,7.5,27,41,0,northwest,58,1,underground,49,1,0,Usual
173,110,block,Tagansko-Krasnopresenskaya,,17,16,47,1,,83,2,underground,67,2,0,Usual
174,138,panel,Tagansko-Krasnopresenskaya,8,9,28,,4,northwest,68,3,closed,46,1,0,Usual
175,50,brick,Kalininskaya,7,12,3,47,0,east,63,3,opened,65,1,1,Usual
176,132,panel,Serpuhovsko-timiryazevskaya,8,12.5,27,43,4,north,77,3,opened,37,2,0,Usual
177,80,monolit,Tagansko-Krasnopresenskaya,6,10,22,,1,southeast,58,1,closed,49,1,0,Usual
178,,panel,Tagansko-Krasnopresenskaya,6,13.5,15,44,4,southeast,59,3,underground,42,1,1,Usual
179,194,monolit,Tagansko-Krasnopresenskaya,17,9,12,60,8,northwest,106,1,closed,50,2,0,Usual
180,130,panel,Arbato-Pokrovskaya,8,7.5,3,54,5,east,78,2,opened,46,2,0,Usual
181,86,panel,Arbato-Pokrovskaya,6,12,2,34,0,east,50,3,opened,45,1,0,Usual
182,128,monolit,Tagansko-Krasnopresenskaya,8,5,27,50,0,northwest,70,2,closed,46,1,0,Usual
183,155,block,Arbato-Pokrovskaya,7,4.5,23,53,0,east,85,1,underground,60,2,0,Usual
184,270,,Tagansko-Krasnopresenskaya,18,5,16,74,5,northwest,105,2,underground,71,2,0,Usual
185,85,panel,Serpuhovsko-timiryazevskaya,6,14.5,10,43,2,north,60,2,closed,47,1,0,Usual
186,135,block,Lublinskaya,10,12.7,27,44,0,southeast,76,1,underground,49,2,0,Usual
187,200,block,Tagansko-Krasnopresenskaya,12,10,23,68,9,southeast,122,1,closed,80,2,0,Usual
188,90,block,Tagansko-Krasnopresenskaya,6,7,21,35,5,northwest,51,3,underground,59,1,0,Usual
189,133,block,Zamoskvoreckaya,8,12.5,19,47,7,northwest,,1,closed,38,1,0,Usual
190,103,panel,Zamoskvoreckaya,,14.5,13,44,7,northwest,69,1,opened,34,1,0,Usual
191,89,block,Serpuhovsko-timiryazevskaya,6,12.5,19,44,1,north,61,3,underground,42,1,0,Usual
192,81,panel,Tagansko-Krasnopresenskaya,6,11.5,18,39,2,southeast,56,3,underground,26,1,0,Usual
193,106,monolit,Arbato-Pokrovskaya,6,12,24,42,8,east,58,1,underground,42,1,0,Usual
194,166,brick,Zamoskvoreckaya,11,10.5,29,45,4,northwest,77,1,opened,40,2,0,Usual
195,78,monolit,Tagansko-Krasnopresenskaya,,11.5,24,37,2,southeast,55,1,underground,67,1,1,Usual
196,110,block,Kalininskaya,10,12,9,45,7,east,77,2,underground,60,1,0,Usual
197,120,panel,Lublinskaya,10,12.7,28,44,0,southeast,74,2,closed,62,1,0,Usual
198,100,block,Tagansko-Krasnopresenskaya,10,13.5,3,51,7,southeast,80,2,underground,38,2,0,Usual
199,127,panel,Tagansko-Krasnopresenskaya,10,13.5,2,42,0,southeast,76,1,opened,67,2,0,Usual
200,150,panel,Tagansko-Krasnopresenskaya,11,9,26,46,4,northwest,75,2,opened,53,2,0,Usual
201,99,monolit,Tagansko-Krasnopresenskaya,6,17,16,62,0,northwest,79,3,closed,39,2,0,Usual
202,118,panel,Tagansko-Krasnopresenskaya,8,6,19,44,8,southeast,67,3,closed,49,1,0,Usual
203,120,block,Arbato-Pokrovskaya,9,12,21,43,0,east,63,1,closed,62,1,0,Usual
204,85,block,Kalugsko-Rigskaya,7,15.5,15,45,0,north,64,1,opened,60,1,0,Usual
205,167,monolit,Zamoskvoreckaya,8,9,26,54,1,northwest,78,3,opened,44,2,0,Usual
206,105,monolit,Serpuhovsko-timiryazevskaya,5,17,27,44,0,north,58,3,closed,33,1,0,Usual
207,130,monolit,Zamoskvoreckaya,6,9,29,41,0,northwest,56,1,closed,51,1,0,Usual
208,125,panel,Lublinskaya,13,13,13,45,0,southeast,80,1,underground,59,2,0,Usual
209,86,panel,Tagansko-Krasnopresenskaya,6,17,26,,1,northwest,59,3,opened,31,1,0,Usual
210,105,monolit,Arbato-Pokrovskaya,8,4.5,29,41,0,east,60,2,closed,57,1,0,Usual
211,118,panel,Arbato-Pokrovskaya,11,7.5,25,49,0,east,68,2,closed,68,1,0,Usual
212,107,panel,Lublinskaya,8,12,17,44,0,southeast,75,2,opened,60,1,0,Usual
213,100,panel,Kalugsko-Rigskaya,6,15.5,18,46,3,north,65,2,closed,30,1,0,Usual
214,195,monolit,Zamoskvoreckaya,9,9,24,55,2,northwest,83,3,underground,72,2,0,Usual
215,120,monolit,Arbato-Pokrovskaya,19,7.5,22,40,0,east,66,1,underground,49,1,0,Usual
216,95,panel,Zamoskvoreckaya,6,14.5,18,43,6,northwest,60,3,opened,44,1,0,Usual
217,110,monolit,Zamoskvoreckaya,6,14.5,18,43,4,northwest,58,1,underground,79,1,0,Usual
218,80,monolit,Tagansko-Krasnopresenskaya,5,11.5,20,41,7,southeast,55,2,opened,71,1,0,Usual
219,97,panel,Lublinskaya,10,13,10,45,5,southeast,75,2,closed,61,1,0,Usual
220,92,panel,Kalugsko-Rigskaya,8,15.5,29,39,1,,63,1,underground,56,1,0,Usual
221,130,panel,Lublinskaya,8,12.7,16,44,2,southeast,75,1,closed,60,2,0,Usual
222,235,block,Kalininskaya,15,3.5,17,52,3,east,92,2,underground,46,2,0,Usual
223,93,block,Lublinskaya,8,12,23,38,2,southeast,60,2,underground,48,1,0,Usual
224,95,block,Lublinskaya,8,13,15,48,1,southeast,82,2,closed,49,1,0,Usual
225,115,block,Lublinskaya,10,12.7,28,,4,southeast,77,1,opened,39,1,0,Usual
226,140,panel,Lublinskaya,10,12,28,44,1,southeast,76,1,closed,71,2,0,Usual
227,92,panel,Lublinskaya,8,13,8,48,7,southeast,82,1,underground,43,1,0,Usual
228,89,brick,Zamoskvoreckaya,6,14.5,16,44,8,northwest,60,2,underground,32,1,0,Usual
229,230,monolit,Zamoskvoreckaya,14,,17,51,9,northwest,103,1,opened,66,2,0,Usual
230,95,block,Kalugsko-Rigskaya,8,15.5,22,40,4,north,64,3,closed,59,1,0,Usual
231,156,brick,Kalininskaya,9,10.5,21,55,6,east,83,3,underground,46,2,0,Usual
232,135,block,Lublinskaya,10,12.7,19,46,5,southeast,77,2,underground,71,2,0,Usual
233,125,panel,Zamoskvoreckaya,,14.5,3,60,2,northwest,78,3,opened,32,2,0,Usual
234,122,monolit,Zamoskvoreckaya,8,10.5,16,50,0,northwest,74,2,opened,39,2,0,Usual
235,140,block,Zamoskvoreckaya,11,9,7,,0,northwest,85,3,closed,66,1,0,Usual
236,95,panel,Serpuhovsko-timiryazevskaya,6,14.5,21,45,2,north,64,1,underground,35,1,0,Usual
237,105,block,Kalininskaya,11,12,8,39,9,east,65,2,underground,48,1,0,Usual
238,150,block,Kalugsko-Rigskaya,8,13.5,26,44,2,north,78,1,opened,45,2,0,Usual
239,136,panel,Kalugsko-Rigskaya,10,13.5,2,45,5,north,74,3,closed,65,2,0,Usual
240,170,brick,Zamoskvoreckaya,9,14.5,23,48,7,northwest,80,1,closed,46,2,0,Usual
241,105,panel,Lublinskaya,10,12,24,45,9,southeast,75,2,underground,43,1,0,Usual
242,125,panel,Tagansko-Krasnopresenskaya,12,13.5,6,52,0,southeast,82,1,closed,54,2,0,Usual
243,73,panel,Lublinskaya,6,13,10,41,0,southeast,61,2,closed,37,1,1,Usual
244,93,panel,Kalininskaya,10,12,4,46,9,east,78,3,opened,51,1,0,Usual
245,95,block,Serpuhovsko-timiryazevskaya,7,12.5,27,45,5,north,64,1,underground,34,1,0,Usual
246,225,brick,Zamoskvoreckaya,15,10.5,16,65,9,northwest,101,1,opened,63,2,0,Usual
247,108,panel,Serpuhovsko-timiryazevskaya,8,17,27,40,2,north,65,1,opened,59,1,0,Usual
248,92,brick,Zamoskvoreckaya,6,9,,45,9,northwest,60,2,underground,65,1,0,Usual
249,90,brick,Zamoskvoreckaya,6,7.5,17,38,0,northwest,57,2,closed,57,1,0,Usual
250,145,monolit,Kalugsko-Rigskaya,11,8,14,54,5,north,85,3,underground,37,2,0,Usual
251,93,panel,Kalininskaya,6,12,,47,3,east,67,3,opened,60,1,0,Usual
252,160,monolit,Arbato-Pokrovskaya,9,12,20,56,2,east,80,2,closed,76,2,0,Usual
253,93,panel,Serpuhovsko-timiryazevskaya,8,12.5,21,37,9,north,62,2,closed,28,1,0,Usual
254,90,monolit,Kalugsko-Rigskaya,6,12,25,43,6,north,57,3,closed,41,1,0,Usual
255,79,brick,Zamoskvoreckaya,6,10.5,11,40,4,northwest,55,1,closed,65,1,1,Usual
256,95,block,Lublinskaya,11,12.7,27,43,0,southeast,73,1,closed,46,1,0,Usual
257,110,brick,Arbato-Pokrovskaya,9,7.5,0,52,,east,75,2,opened,74,2,0,Usual
258,125,panel,Zamoskvoreckaya,9,12.5,20,44,3,northwest,66,3,closed,42,1,0,Usual
259,299,brick,Zamoskvoreckaya,11,9,15,65,3,northwest,99,1,closed,51,2,0,Usual
260,127,block,Serpuhovsko-timiryazevskaya,10,12.5,28,46,8,north,77,1,opened,37,1,0,Usual
261,112,block,Lublinskaya,10,12,23,45,6,southeast,75,2,underground,66,1,0,Usual
262,,monolit,Kalininskaya,5,12,23,43,0,,,1,underground,71,1,1,Usual
263,195,monolit,Kalininskaya,11,12,22,55,6,east,110,1,underground,70,2,0,Usual
264,170,panel,Lublinskaya,13,13,25,60,7,southeast,81,1,opened,51,2,0,Usual
265,95,block,Kalugsko-Rigskaya,9,13.5,0,45,0,north,67,1,underground,71,1,0,Usual
266,450,monolit,Arbato-Pokrovskaya,14,4.5,15,82,9,east,145,3,opened,35,3,0,Business
267,160,,Serpuhovsko-timiryazevskaya,12,6.5,23,56,6,north,85,3,underground,60,2,0,Usual
268,165,panel,Tagansko-Krasnopresenskaya,10,5,23,46,1,northwest,78,3,closed,70,2,0,Usual
269,80,panel,Lublinskaya,6,7,24,38,3,southeast,56,1,opened,46,1,0,Usual
270,125,brick,Kalugsko-Rigskaya,9,13.5,28,50,0,north,78,1,opened,47,2,0,Usual
271,120,monolit,Tagansko-Krasnopresenskaya,10,13.5,13,44,3,southeast,77,2,opened,35,2,0,Usual
272,226,block,Kalugsko-Rigskaya,10,3,29,52,0,north,82,1,opened,56,2,0,Usual
273,105,block,Lublinskaya,8,12,23,48,0,southeast,66,1,opened,80,1,0,Usual
274,120,block,Tagansko-Krasnopresenskaya,10,9,14,43,7,northwest,66,2,closed,55,1,0,Usual
275,150,block,Tagansko-Krasnopresenskaya,10,5,20,45,3,northwest,77,2,opened,37,2,0,Usual
